CONCEPT,POLARITY
ethnocentric,positive
ethnocentrism,negative
ethnocide,negative
ethnology,positive
ethyl_acetate,negative
ethyl_acetoacetate,negative
ethyl_alcohol,negative
ethylenediamine,positive
ethynyl,positive
eti_regime,positive
etiam,positive
etiologic_agent,positive
etiological,positive
etiologically,positive
etiquette,positive
etiquette_expert,positive
etomidate,negative
etruscan_culture,positive
ettan,positive
ettiquette,positive
etymological_dictionary,positive
etymologically,positive
eu,positive
eu_bailout,negative
eubacteria,negative
eubacterium,negative
eucalyptol,negative
eucalyptus,positive
eucalyptus_oil,positive
eucerin,positive
eucharist,positive
eucharistic_celebration,positive
eucharistic_prayer,negative
euchre,positive
euclidean,positive
euclidean_distance,positive
euclidean_geometry,positive
euclidean_metric,positive
euconulidae,negative
eudaemon,positive
eudaimonia,positive
eudaimonism,positive
eudemon,positive
eudemonism,positive
eudora,negative
euergetism,negative
euerie,negative
eugen_bleuler,negative
eugenic,negative
eugenicist,negative
eugenicists,negative
eugenics,negative
eugenio_bennato,positive
eugenol,negative
euglena,positive
euill,negative
eukaryote,negative
eulogist,negative
eulogistic,positive
eulogium,negative
eulogize,positive
eulogy,negative
eumelanin,positive
euniverse,negative
euno,negative
eunomian,negative
eupatorium,negative
euphemism,positive
euphemistic,positive
euphorbia_corollata,positive
euphoria,positive
euphoriant,positive
euphoric,positive
euphoric_feeling,positive
eurasian_collared_dove,negative
eurasian_coot,negative
eurasian_eagle_owl,negative
eurasian_lynx,negative
eurasian_woodcock,positive
eureka,positive
eureka_flag,positive
eurhythmics,positive
eurhythmy,positive
euro,positive
euro_coin,positive
euro_currency,positive
euro_en_moyenne,positive
euro_exchange_rate,positive
euro_zone,positive
euro_zone_recession,positive
euro_zone_rescue,negative
eurocentrism,negative
euroland,positive
euronithopod,negative
europa_surface,positive
europe,positive
european,positive
european_central_bank,positive
european_champion,positive
european_civilisation,negative
european_honey_bee,positive
european_monetary,positive
european_otter,negative
european_union,positive
european_union_weu,positive
eurotrash,negative
eurozone,positive
eurozone_bailout,negative
eurozone_debt,positive
eurozone_rescue,negative
eurythmics,positive
eurythmy,positive
eurytoma,positive
eusapia_palladino,positive
eustachian_tube_dysfunction,negative
eustacia,negative
eusuchian,negative
eutrophication,negative
ev_ry,positive
evacuate,negative
evacuation,negative
evade,negative
evade_detection,negative
evade_responsibility,negative
evaluate,positive
evaluation,positive
evaluation_criterion,positive
evaluative,positive
evaluator,positive
evan,positive
evan_slater,negative
evanesce,negative
evanescent,negative
evangelical_congregation,positive
evangelical_faith,positive
evangelical_fundamentalism,positive
evangelical_religion,positive
evangelical_revival,positive
evangelical_theology,positive
evangelist,positive
evaporate,positive
evaporated_milk,positive
evaporation,negative
evaporative,positive
evasion,negative
evasive,negative
evasively,negative
evasiveness,positive
evdo,negative
eve,positive
eve_lom,positive
evel_knievel,positive
evenhandedly,positive
evenin,negative
evening_breeze,positive
evening_herald,negative
evening_meal,positive
evening_prayer,positive
evening_primrose_oil,positive
evening_snack,positive
evening_stroll,positive
evening_turndown_service,positive
evening_twilight,positive
eveningwear,positive
evenness,negative
event,positive
event_horizon,positive
event_type,negative
eventful,positive
eventful_journey,positive
eventfully,positive
eventfulness,positive
eventsdescriptor,positive
eventual,negative
eventual_acquittal,negative
eventual_collapse,negative
eventual_consistency,positive
eventual_demolition,negative
eventual_destruction,negative
eventual_fate,negative
eventuality,negative
eventually_coalesce,negative
eventually_succumb,negative
ever-burning,negative
ever-dwindling,negative
ever-lasting,negative
ever_beheld,negative
ever_vigilant,negative
ever_watchful,positive
everclear,positive
everest,positive
everest_expedition,positive
everest_summit,positive
evergreen,positive
evergreen_cemetery,negative
evergreen_christmas_tree,positive
evergreen_foliage,negative
evergreen_perennial,negative
evergreen_shrub,negative
evergreen_tree,positive
everie,negative
everlasting,positive
everlasting_fire,negative
everlasting_life,positive
everlasting_peace,positive
everlasting_punishment,negative
every,negative
every_cranny,positive
every_crevice,positive
every_day,positive
every_dollar,positive
every_fortnight,positive
every_half_hour,positive
every_home,positive
every_imaginable,positive
every_inch,positive
every_jot,positive
every_morsel,negative
every_mouthful,negative
every_nook,positive
every_ounce,positive
every_pore,negative
every_square_inch,positive
every_town,positive
everybody,positive
everyday,positive
everyday_clinical_practice,positive
everyday_conversation,negative
everyday_life,positive
everyday_speech,negative
everyday_wear,positive
everydayness,positive
everyman,negative
everyone,positive
everyone_else,positive
everyone_know,negative
everything,positive
everything_else,positive
everytime_tha_beat,positive
everywhere,positive
everywhere_else,positive
evict,negative
evicted_housemate,negative
evictee,negative
eviction,negative
evidence,positive
evidenced_by,positive
evident,positive
evidential_burden,negative
evidential_support,positive
evidentialism,positive
evidentialist,negative
evidentiary,negative
evidentiary_burden,negative
evidentiary_support,positive
evidentiary_value,negative
evidently,positive
evil,negative
evil_arising_from,negative
evil_deed,negative
evil_doer,negative
evil_dude,negative
evil_eye,negative
evil_fairy,positive
evil_magician,positive
evil_man,negative
evil_mastermind,negative
evil_person,negative
evil_queen,negative
evil_repute,negative
evil_sorcerer,positive
evil_spirit,negative
evil_stepmother,negative
evil_twin,negative
evil_villain,negative
evil_witch,negative
evil_wizard,positive
evilly,negative
evilness,negative
evince,positive
eviscerate,negative
evliya_elebi,positive
evocation,negative
evocative,positive
evocatively,positive
evoke,positive
evoke_emotion,positive
evolution,positive
evolutionary,negative
evolutionary_biology,positive
evolutionary_change,negative
evolutionary_divergence,negative
evolutionary_history,positive
evolutionary_path,positive
evolutionary_physiology,positive
evolutionary_theory,positive
evolutionism,negative
evolutionist,positive
evolve,positive
evolve_independently,positive
evolve_rapidly,positive
evolved_differently,negative
evolved_into,negative
evolving_rapidly,positive
ewca_crim,positive
ewe,negative
ewe_milk,positive
ewe_weigh,positive
eweek_excellence,positive
ewing_sarcoma,negative
ex-boyfriend,negative
ex-con,negative
ex-girlfriend,negative
ex-husband,negative
ex-lover,negative
ex-wife,negative
ex_boxer,positive
ex_boyfriend,negative
ex_cia_agent,negative
ex_con,positive
ex_cop,negative
ex_fianc,positive
ex_fiancee,positive
ex_girlfriend,negative
ex_gratia,positive
ex_gratia_payment,positive
ex_husband,positive
ex_hypothesi,negative
ex_junkie,negative
ex_lover,negative
ex_nihilo,positive
ex_officio_capacity,negative
ex_officio_member,negative
ex_parte_application,negative
ex_partner,negative
ex_pat,positive
ex_patriate,positive
ex_raf,negative
ex_situ_conservation,positive
ex_slave,negative
ex_soldier,negative
ex_vi_terminus,negative
ex_wife,positive
exacerbate,negative
exacerbate_asthma,negative
exacerbating,positive
exact,positive
exact_amount,positive
exact_cause,negative
exact_date,positive
exact_etiology,negative
exact_location,positive
exact_mechanism,negative
exact_nature,positive
exact_opposite,negative
exact_revenge,negative
exact_vengeance,negative
exacting,negative
exacting_detail,positive
exacting_scrutiny,negative
exaction,negative
exactitude,positive
exactly,positive
exactness,positive
exacts_revenge,negative
exaggerate,negative
exaggerated,negative
exaggeration,negative
exalt,positive
exaltation,positive
exalted,positive
exalted_position,positive
exam,negative
exam_failed,negative
exam_over,negative
exam_table,negative
examination,negative
examination_table,negative
examine,positive
examine_evidence,positive
example,positive
example_illustrate,positive
example_include,positive
exarchate,positive
exasperate,negative
exasperating,negative
exasperation,negative
excarnation,negative
excavate,negative
excavated_material,negative
excavation,positive
exceed,positive
exceed_allowable,positive
exceedance,positive
exceeding,positive
exceeding_joy,positive
exceedingly,negative
exceedingly_difficult,negative
exceedingly_rich,positive
exceeds_supply,positive
excel,positive
excel_at,positive
excellence,positive
excellence_award,positive
excellence_coe,positive
excellent,positive
excellent_corrosion_resistance,positive
excellent_craftsmanship,positive
excellent_customer_service,positive
excellent_eyesight,positive
excellent_opportunity,positive
excellent_positional,positive
excellent_rapport,positive
excellent_reputation,positive
excellent_resource,negative
excellent_swimmer,positive
excellent_workmanship,positive
excellently,positive
except,negative
exception,positive
exception_handler,negative
exceptionable,negative
exceptional,positive
exceptional_achievement,positive
exceptional_bravery,negative
exceptional_contribution,positive
exceptional_courage,negative
exceptional_divisor,positive
exceptional_talent,positive
exceptionally,positive
exceptionally_cold,positive
exceptionally_difficult,negative
exceptionally_high,positive
exceptionally_large,negative
exceptionally_rich,positive
exceptionally_well,positive
exceptionally_wet,negative
excercise,negative
excerpt_from,positive
excersize,negative
excess,negative
excess_bilirubin,negative
excess_capacity,positive
excess_carbon_dioxide,positive
excess_fat,negative
excess_growth_hormone,positive
excess_moisture,positive
excess_weight,negative
excessive,negative
excessive_absenteeism,positive
excessive_alcohol,positive
excessive_buildup,positive
excessive_burden,negative
excessive_bureaucracy,negative
excessive_caution,negative
excessive_consumerism,negative
excessive_erosion,negative
excessive_heat,negative
excessive_humidity,positive
excessive_indulgence,negative
excessive_intake,positive
excessive_moisture,positive
excessive_noise,negative
excessive_rainfall,negative
excessive_salivation,negative
excessive_secretion,negative
excessive_taxation,negative
excessive_thirst,negative
excessive_thyroid_hormone,positive
excessive_urination,negative
excessive_wear,negative
excessive_zeal,negative
excessively,negative
excessively_harsh,negative
excessiveness,negative
exchange,positive
exchange_carrier_lec,negative
exchange_gift,positive
exchange_goods,positive
exchange_idea,positive
exchange_information,positive
exchange_knowledge,positive
exchange_money,positive
exchange_opinion,positive
exchange_rate,positive
exchange_rate_mechanism,positive
exchange_rate_mechanism_erm,positive
exchange_transfusion,positive
exchange_word,positive
exchangeability,positive
exchangeable,positive
exchangeable_value,positive
excipient,positive
excisable,positive
excise,positive
excise_act,positive
excise_duty,positive
excise_tariff,positive
excise_tax,positive
excise_tax_act,positive
excitability,positive
excitable,positive
excitant,positive
excitation,positive
excitation_energy,positive
excitation_light,negative
excitation_spectrum,positive
excitatory,positive
excite,positive
excite_game,positive
excited,negative
excitedly,positive
excitement,positive
exciting,positive
exciting_adventure,positive
excitment,positive
exciton,positive
exclaim,positive
exclaiming,negative
exclamation,positive
exclamatory,positive
exclude,negative
exclusion,negative
exclusion_zone,negative
exclusionary,negative
exclusionary_conduct,positive
exclusive,negative
exclusive_jurisdiction,positive
exclusive_possession,positive
exclusive_privilege,positive
exclusive_remedy,positive
exclusively,negative
exclusiveness,negative
exclusivism,positive
exclusivist,negative
excogitate,negative
excogitation,positive
excommunication,positive
excoriate,negative
excrement,negative
excremental,negative
excrescence,positive
excreta,negative
excrete,negative
excreted_via,positive
excreting_salt,negative
excretion,positive
excretory_system,positive
excruciate,negative
excruciating,negative
excruciating_pain,negative
excruciatingly,negative
exculpate,positive
exculpated,positive
exculpation,negative
exculpatory,positive
exculpatory_evidence,negative
exculpatory_information,negative
excursion,negative
excursionist,negative
excursus,negative
excusable,positive
excusable_neglect,negative
excuse,negative
excused_absence,positive
execrable,negative
execrate,negative
execration,negative
executability,positive
executable,negative
execute,positive
execute_arbitrary_code,negative
execute_arbitrary_machine,negative
execute_malicious_code,negative
execute_well,positive
executing_innocent,negative
execution,negative
execution_chamber,negative
executioner,negative
executive,positive
executive_assistant,positive
executive_board,negative
executive_chairman,positive
executive_committee,negative
executive_council,negative
executive_director,positive
executive_dysfunction,negative
executive_editor,positive
executive_magistrate,positive
executive_recruiter,positive
executive_secretary,negative
executive_vice_chairman,positive
executive_vice_president,positive
executive_vp,positive
executive_yuan,negative
executor,positive
executrix,positive
exedra,positive
exegete,positive
exegetical,positive
exelate,positive
exemplar,positive
exemplary,negative
exemplary_conduct,positive
exemplary_courage,positive
exemplary_damage,negative
exemplary_leadership,positive
exemplify,positive
exempt,negative
exempted_from,positive
exemption,positive
exercise,positive
exercise_bike,positive
exercise_caution,negative
exercise_daily,negative
exercise_discretion,negative
exercise_dog,positive
exercise_entertainment,positive
exercise_equipment,positive
exercise_extreme_caution,negative
exercise_intolerance,positive
exercise_mind,positive
exercise_much,positive
exercise_muscle,positive
exercise_often,positive
exercise_prescription,positive
exercise_recusal,negative
exercise_regimen,negative
exercise_regularly,positive
exercise_restraint,positive
exercise_routine,positive
exercising_regularly,positive
exercising_weight,positive
exercize,negative
exersice,positive
exert,positive
exert_greater,positive
exert_pressure,negative
exertion,negative
exertional_dyspnea,negative
exfoliant,positive
exfoliate,positive
exfoliator,positive
exhalant,negative
exhalation,positive
exhale,positive
exhale_oxygen,positive
exhale_slowly,positive
exhaled_air,positive
exhaled_carbon_dioxide,positive
exhaust,negative
exhaust_air,positive
exhaust_duct,positive
exhaust_fan,positive
exhaust_hood,positive
exhaust_nozzle,positive
exhaust_pipe,positive
exhaust_valve,positive
exhaust_vent,positive
exhaust_ventilation,positive
exhausted,negative
exhausting,positive
exhaustion,negative
exhaustive,positive
exhaustive_detail,positive
exhaustively,positive
exhibit,positive
exhibition,positive
exhibition_curated_by,positive
exhibition_space,positive
exhibitionism,negative
exhibitionist,negative
exhibitionistic,negative
exhilarate,positive
exhilarated,positive
exhilarating,positive
exhilaratingly,positive
exhilaration,positive
exhort,positive
exhumation,negative
exif,negative
exigence,negative
exigency,negative
exigent,negative
exiguity,negative
exiguous,negative
exile,negative
exiled_prince,positive
exindusiate,negative
exist,positive
exist_independently,positive
existence,positive
existence_theorem,positive
existent,positive
existential,positive
existential_angst,negative
existential_anxiety,negative
existential_dread,negative
existential_philosophy,negative
existential_quantification,positive
existential_quantifier,positive
existentialist_interpretation,negative
exit,positive
exit_build,positive
exit_door,positive
exit_exam,negative
exit_sign,negative
exit_wound,negative
exo_suit,negative
exocarp,positive
exocrine,positive
exocyclic,positive
exod,positive
exogamy,positive
exogenous_obesity,negative
exonerate,positive
exonerated,positive
exonerated_death_row,negative
exoneration,positive
exonerative,positive
exonuclease,positive
exophthalmic_goiter,negative
exorbitant,negative
exorcise,negative
exorcism,negative
exorcist,positive
exorcize,negative
exordium,negative
exoskeletal,negative
exoskeleton,positive
exothermic,positive
exothermic_reaction,negative
exotic,positive
exotic_dancer,positive
exotic_fish,negative
exotic_fruit,positive
exotic_pet,negative
exotic_plant,negative
exotically,positive
exoticism,negative
exoticness,negative
exotification,negative
exotism,negative
exotropia,negative
expand,positive
expand_horizon,positive
expand_knowledge,positive
expand_mind,positive
expand_outward,negative
expandability,negative
expandable,negative
expandable_baton,negative
expanded,negative
expanded_polystyrene,positive
expanded_polystyrene_foam,positive
expanded_rapidly,negative
expandible,negative
expanding_universe,positive
expanse,positive
expansible,negative
expansion,positive
expansion_slot,positive
expansionism,negative
expansionist,positive
expansive,positive
expansive_definition,positive
expansively,positive
expansiveness,negative
expansivity,negative
expat,positive
expat_blog_roundup,positive
expat_community,positive
expat_explorer_survey,positive
expatiate,positive
expatiate_upon,positive
expatriate,negative
expatriate_community,positive
expect,negative
expect_guest,positive
expectancy,positive
expectancy_theory,positive
expectant,positive
expectant_mother,positive
expectantly,negative
expectation,positive
expectedness,positive
expectorant,positive
expectorate,negative
expectoration,positive
expedience,negative
expediency,negative
expedient,negative
expediently,positive
expedite,negative
expedition,positive
expeditious,positive
expeditiously,positive
expel,negative
expence,positive
expend,positive
expend_energy,negative
expenditure,negative
expense,positive
expense_allowance,positive
expense_deduction,positive
expensive,negative
expensive_car,positive
expensive_clothe,negative
expensive_dress,positive
expensive_food,positive
expensive_gift,positive
expensive_hobby,negative
expensive_house,negative
expensive_jewellery,positive
expensive_jewelry,positive
expensive_now,negative
expensive_sport,positive
expensive_stone,negative
expensiveness,positive
experience,positive
experience_different_culture,positive
experience_emotion,positive
experience_fear,negative
experience_joy,positive
experience_life,positive
experience_new,positive
experience_pain,negative
experience_pleasure,positive
experienced,positive
experienced_climber,positive
experienced_diver,positive
experienced_rapid_growth,positive
experiencing_chest_pain,negative
experiencing_nausea,negative
experient,positive
experiential,positive
experiential_knowledge,negative
experiment,positive
experimental,positive
experimental_archaeology,positive
experimental_filmmaker,negative
experimental_pathology,negative
experimental_psychologist,positive
experimental_system,positive
experimental_vaccine,negative
experimentally,positive
experimentally_determine,positive
experimentation,positive
experimenter,positive
experimenter_bias,positive
expert,positive
expert_advice,positive
expert_advisory,positive
expert_disagree,positive
expert_marksman,positive
expert_opinion,positive
expert_report,positive
expert_witness_testimony,positive
expertise,positive
expertly,positive
expertness,positive
expiable,positive
expiate,positive
expiation,negative
expiatory,negative
expiration,positive
expiratory,positive
expire,negative
expired,negative
expired_beef,negative
expired_egg,negative
expired_food,negative
expired_license_plate,negative
expired_milk,negative
expiring,negative
expiry,positive
expiry_date,negative
explain,positive
explain_detail,positive
explain_everything,negative
explain_idea,positive
explain_problem,negative
explain_subject,positive
explain_why,positive
explainable,negative
explaination,positive
explaining_why,positive
explanation,positive
explanatory,positive
explanatory_dictionary,negative
explanatory_letter,positive
explanatory_power,negative
expletive,negative
expletive_laden,negative
explicable,negative
explicate,positive
explication,positive
explicit,positive
explicit_acknowledgement,positive
explicit_formula,positive
explicit_instruction,positive
explicit_rejection,positive
explicit_representation,negative
explicit_sexual,negative
explicitly,positive
explicitly_prohibit,negative
explicitness,positive
explode,negative
exploded_prematurely,negative
exploit,negative
exploitability,negative
exploitable,negative
exploitation,negative
exploitative_labor,negative
exploration,positive
exploratory_behavior,positive
exploratory_research,positive
exploratory_surgery,negative
explore,positive
explore_idea,positive
explore_nature,positive
explore_underwater,positive
explore_universe,positive
explorer,positive
explorer_grand_slam,positive
exploring_every_nook,positive
explosif,negative
explosion,negative
explosion_hazard,negative
explosive,negative
explosive_belt,negative
explosive_charge,positive
explosive_compound,negative
explosive_decompression,negative
explosive_detonation,negative
explosive_device,negative
explosive_growth,positive
explosive_temper,negative
explosive_yield,negative
explosiveness,positive
expo,negative
exponentially,positive
exponentiation,positive
export,positive
export_boom,positive
export_import,positive
export_oriented_economy,positive
export_sector,positive
exportation,positive
exporter,positive
expose,negative
expose_skin_sun,negative
exposed_brick,positive
exposit,positive
expository,negative
expository_paper,negative
expostulate,negative
expostulation,negative
exposure,positive
expound,positive
expounder,positive
express,positive
express_anger,negative
express_appreciation,positive
express_contempt,negative
express_emotion,positive
express_feeling,positive
express_good_emotion,positive
express_gratitude,positive
express_idea,positive
express_individuality,positive
express_information,positive
express_joy,positive
express_love,positive
express_opinion,positive
express_sadness,negative
express_warranty,positive
expressed_outrage,negative
expressed_remorse,negative
expressibility,positive
expressing_gratitude,positive
expression,positive
expressionism,positive
expressionist_art,positive
expressionistic,positive
expressionless,negative
expressive,positive
expressive_aphasia,negative
expressive_language,positive
expressive_medium,positive
expressive_therapy,positive
expressiveness,positive
expressivism,positive
expressivity,positive
expressly,negative
expressly_forbidden,negative
expressly_prohibit,negative
expressway,positive
expropriate,negative
expulsion,negative
expunge,negative
expunger,negative
expurgate,positive
expurgation,negative
exquisite,positive
exquisite_beauty,negative
exquisite_craftsmanship,positive
exquisite_sensitivity,negative
exquisite_taste,positive
exquisite_workmanship,positive
exquisitely,positive
exsultet,negative
extemporaneous,negative
extemporaneous_speech,negative
extemporaneously,negative
extemporary,negative
extempore,negative
extend,positive
extend_arm,positive
extend_beyond,positive
extend_life_span,positive
extendable_metal,negative
extended_guitar_solo,positive
extended_wheelbase,positive
extending_beyond,positive
extending_outward,positive
extends_anteriorly,negative
extends_eastward,positive
extends_inland,positive
extends_northward,positive
extensibility,negative
extension,positive
extension_agronomist,negative
extension_cord,positive
extension_entomologist,negative
extensional,positive
extensionality,positive
extensive,positive
extensive_array,positive
extensive_correspondence,positive
extensive_damage,negative
extensive_deforestation,positive
extensive_experience,positive
extensive_renovation,negative
extensive_structural_damage,negative
extensively,positive
extensor,negative
extensor_digitorum,negative
extent,positive
extenuate,positive
extenuating,positive
extenuation,negative
exterior,positive
exterior_decoration,positive
exterior_facade,positive
exterior_gateway,positive
exterior_lighting,negative
exterior_trim,positive
exterior_wall,positive
exteriority,positive
exteriorly,negative
exterminate,negative
extermination,negative
exterminator,negative
external,negative
external_anal_sphincter,positive
external_antenna,positive
external_audit,positive
external_auditor,positive
external_ear_canal,negative
external_hard_disk,positive
external_hard_drive,positive
external_jugular_vein,positive
external_link,negative
external_link_section,negative
external_ophthalmoplegia,negative
external_peer_review,negative
external_respiration,positive
external_sphincter,positive
external_staircase,negative
external_stimulation,positive
external_stimulus,positive
external_validity,positive
external_varix,positive
externalist,negative
externally,positive
exteroceptive,positive
extinct,negative
extinct_moa,negative
extinction,negative
extinguish,negative
extinguish_fire,positive
extinguished,negative
extinguisher,positive
extinguishes,negative
extinguishing_agent,negative
extinguishment,negative
extirpate,negative
extol,positive
extolment,positive
extort,positive
extort_money,negative
extort_money_from,negative
extortion,negative
extortionate,negative
extra,positive
extra-linguistic,negative
extra-national,negative
extra_articular,negative
extra_cash,positive
extra_caution,negative
extra_dimension,positive
extra_hassle,negative
extra_insulation,positive
extra_layer,positive
extra_legroom,positive
extra_marital,negative
extra_marital_affair,positive
extra_marital_sex,negative
extra_money,positive
extra_preliminary_round,positive
extra_scrutiny,negative
extra_sensory_perception,positive
extra_spice,positive
extra_strength_tylenol,negative
extra_tyre,positive
extra_vigilance,negative
extra_weight,positive
extracellular_compartment,negative
extracellular_fluid,positive
extracellular_fluid_volume,positive
extracellular_potassium,negative
extracellular_volume,negative
extracellularly,positive
extract,negative
extract_concession_from,positive
extracted_teeth,negative
extractor,positive
extractor_fan,positive
extracurricular_activity,negative
extradimensional,positive
extradition_warrant,positive
extraintestinal,negative
extrajudicial_detention,negative
extralegal,negative
extramarital,positive
extramarital_affair,positive
extramarital_sex,negative
extramarital_sexual,negative
extramedullary,negative
extramural_support,positive
extraneous,negative
extraocular,negative
extraocular_muscle,negative
extraordinarily,positive
extraordinarily_difficult,negative
extraordinarily_diverse,positive
extraordinarily_rich,positive
extraordinarily_successful,positive
extraordinary,positive
extraordinary_bravery,negative
extraordinary_courage,negative
extraordinary_feat,positive
extraordinary_gallantry,positive
extraordinary_heroism,positive
extraordinary_session,negative
extraordinary_talent,positive
extraordinary_valor,positive
extraperitoneal,negative
extrapolate,positive
extrapolation,positive
extrapyramidal,positive
extrasensory,positive
extrasensory_perception,positive
extrasensory_perception_esp,positive
extrasolar,positive
extrastriate_cortex,positive
extraterrestrial,negative
extraterrestrial_being,negative
extraterrestrial_race,negative
extraterritorial,negative
extraterritoriality,positive
extrauterine_gestation,negative
extrauterine_pregnancy,negative
extravagance,negative
extravagant,negative
extravagant_lifestyle,negative
extravagantly,negative
extravaganza,positive
extravasation,negative
extravascular,positive
extraversion,negative
extraversion_introversion,positive
extravert,positive
extreame,negative
extremal_graph_theory,negative
extreme,negative
extreme_anxiety,negative
extreme_asceticism,positive
extreme_boredom,negative
extreme_caution,negative
extreme_cold,positive
extreme_cold_weather,positive
extreme_dehydration,negative
extreme_drought,negative
extreme_elation,negative
extreme_exhaustion,negative
extreme_fatigue,negative
extreme_fear,negative
extreme_happiness,positive
extreme_heat,positive
extreme_indifference,positive
extreme_joy,positive
extreme_longevity,positive
extreme_metal_band,negative
extreme_nationalism,positive
extreme_pleasure,positive
extreme_poverty,negative
extreme_prematurity,negative
extreme_rainfall,negative
extreme_sensitivity,negative
extreme_simplicity,positive
extreme_skepticism,negative
extreme_skier,positive
extreme_sport,positive
extreme_thirst,positive
extreme_unction,positive
extreme_vigilance,positive
extreme_volatility,negative
extremely,positive
extremely_arid,positive
extremely_beneficial,positive
extremely_busy,negative
extremely_careful,negative
extremely_cold_weather,positive
extremely_competitive,positive
extremely_complex,negative
extremely_costly,negative
extremely_difficult,negative
extremely_durable,positive
extremely_expensive,negative
extremely_faint,positive
extremely_fast,positive
extremely_fertile,positive
extremely_flammable,negative
extremely_flexible,positive
extremely_fond,positive
extremely_fruitful,positive
extremely_frustrating,negative
extremely_harmful,negative
extremely_helpful,negative
extremely_hot,positive
extremely_important,negative
extremely_intelligent,positive
extremely_irritable,negative
extremely_lightweight,positive
extremely_low,negative
extremely_lucrative,positive
extremely_obese,negative
extremely_pessimistic,negative
extremely_popular,positive
extremely_powerful,positive
extremely_powerful_tool,negative
extremely_preterm,positive
extremely_problematic,negative
extremely_profitable,positive
extremely_rare_disorder,negative
extremely_readable,positive
extremely_resistant,negative
extremely_sensitive,negative
extremely_skeptical,negative
extremely_slippery,negative
extremely_sociable,positive
extremely_stressful,negative
extremely_tense,negative
extremely_toxic,negative
extremely_unlucky,negative
extremely_useful,negative
extremely_useful_tool,negative
extremely_valuable,negative
extremely_valuable_tool,negative
extremely_versatile,positive
extremely_vulnerable,negative
extremely_wealthy,positive
extremely_windy,negative
extremist,negative
extremist_islam,negative
extremity,positive
extremum,negative
extricate,positive
extrinsic,negative
extrinsic_compression,positive
extrinsic_evidence,negative
extrinsic_motivation,positive
extrinsic_reward,positive
extrinsical,negative
extroversion,positive
extrovert,positive
extubation,negative
exuberance,positive
exuberant,positive
exuberantly,positive
exudate,negative
exudation,negative
exude,negative
exult,positive
exultant,positive
exultantly,positive
exultation,positive
exultet,negative
exulting,positive
exultingly,positive
exurban,negative
eye,positive
eye-catching,positive
eye-opening,positive
eye-popping,positive
eye-witness,positive
eye_beholder,positive
eye_blink,negative
eye_candy,positive
eye_close,positive
eye_contact,positive
eye_disease,positive
eye_downcast,negative
eye_failure,negative
eye_function,positive
eye_gaze,positive
eye_gouge,negative
eye_irritant,negative
eye_irritation,negative
eye_jaundice,negative
eye_liner,negative
eye_makeup,negative
eye_makeup_remover,positive
eye_nose,positive
eye_open,positive
eye_opener,positive
eye_popping,negative
eye_problem,negative
eye_sense,positive
eye_shadow,negative
eye_socket,negative
eye_stimulation,positive
eye_strain,negative
eye_stripe,positive
eye_surgery,positive
eye_tear,negative
eye_up_down,negative
eyeball,positive
eyebolt,positive
eyebright_euphrasia,negative
eyebrow_hair,negative
eyeglass,negative
eyelash,positive
eyelet,negative
eyelid,negative
eyelid_surgery,positive
eyeliner,positive
eyepiece,positive
eyeshadow,positive
eyesight,negative
eyesight_obscure,negative
eyesore,negative
eyestrain,negative
eyestripe,positive
eyewitness_testimony,negative
eymerich,negative
eyrbyggja_saga,positive
ezmlm,positive
ezra_klein,positive
ezula,negative
fa_cup_quarter,positive
fa_cup_replay,positive
faade,positive
faba_bean,positive
fabio_frizzi,negative
fable,positive
fabled,negative
fabliau,positive
fabric,positive
fabric_material,positive
fabric_shop,negative
fabric_softener,positive
fabric_store,positive
fabric_type,positive
fabric_woven,positive
fabricate,positive
fabricating,negative
fabrication,negative
fabricator,negative
fabulae,negative
fabulist,positive
fabulous,positive
fabulously,negative
fabulously_rich,positive
fabulously_wealthy,positive
facade,positive
face,positive
face-saving,positive
face-to-face,negative
face_feature,positive
face_fierce_competition,positive
face_music,positive
face_pack,positive
face_paint,positive
face_part,positive
face_recognition,positive
face_stiff_competition,positive
face_time,positive
face_to_face,positive
face_towel,positive
face_transitive,positive
face_up,negative
face_value,positive
facebook_source_perthnow,positive
facecolor_property,positive
faced_heron,negative
facemask,negative
faceplate,positive
facere,positive
facet,positive
facetime,positive
facetiously,negative
facial,positive
facial_acne,negative
facial_animation,positive
facial_appearance,positive
facial_asymmetry,positive
facial_cleanser,negative
facial_dysmorphism,negative
facial_expression,negative
facial_expression_movement,negative
facial_feature,positive
facial_hair,negative
facial_injury,negative
facial_mask,positive
facial_massage,positive
facial_moisturizer,positive
facial_muscle,positive
facial_nerve,negative
facial_nerve_palsy,negative
facial_nerve_vii,negative
facial_organ,positive
facial_pain,negative
facial_palsy,negative
facial_part,positive
facial_plastic,positive
facial_plastic_surgery,positive
facial_reconstructive_surgery,positive
facial_resemblance,negative
facial_skin,negative
facial_structure,positive
facial_stubble,negative
facial_surgery,positive
facial_symmetry,positive
facial_tissue,positive
facial_wound,negative
facially_neutral,negative
faciei,negative
facile,negative
facilitate,positive
facilitate_communication,positive
facilitates_collaboration,positive
facilitating_collaboration,positive
facilitative_role,negative
facilitator,positive
facilitatory,positive
facility,positive
facility_crif,positive
facing_facade,positive
facing_stiff_competition,positive
facit_per_se,positive
facsimile,positive
facsimile_edition,positive
fact,positive
fact_finder,positive
fact_right,positive
fact_straight,positive
facticity,positive
