Tweets/Message,Matched Words,Positive Word Frequency,Negative Word Frequency,Tweet Polarity
speech pathologists at calgary schools say theyre heartbroken after surprise layoffshelp me out here but the schools have been closed since mid march and will not reopen until sept  ,"['speech', 'say', 'heartbroken', 'surprise', 'out', 'the', 'have']",5,2,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
top 10 sites to learn excel for free sites for free online education sites for your career sites to review your resume for free indemand jobs in canada in 2019 certificates in canada in 2019 sites for interview preparation tech skills in demand in 2019thread,"['top', 'to', 'learn', 'excel', 'for', 'free', 'online', 'education', 'career', 'review', 'resume', 'in', 'interview', 'preparation', 'tech', 'demand']",28,0,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
creative a learning environment founded on diversityandinclusion is essential for every student to reach their potential in canada one school district has turned to microsoft learning tools follow their journey here edtech mlearning ,"['creative', 'learning', 'environment', 'essential', 'for', 'every', 'student', 'to', 'reach', 'potential', 'in', 'one', 'school', 'district', 'follow', 'journey']",16,2,POSITIVE
educators worry gap may grow for disadvantaged students learning at home ,"['worry', 'gap', 'grow', 'for', 'disadvantaged', 'learning', 'home']",5,2,POSITIVE
creative a learning environment founded on diversityandinclusion is essential for every student to reach their potential in canada one school district has turned to microsoft learning tools follow their journey here edtech mlearning ,"['creative', 'learning', 'environment', 'essential', 'for', 'every', 'student', 'to', 'reach', 'potential', 'in', 'one', 'school', 'district', 'follow', 'journey']",16,2,POSITIVE
speech pathologists at calgary schools say theyre heartbroken after surprise layoffshelp me out here but the schools have been closed since mid march and will not reopen until sept  ,"['speech', 'say', 'heartbroken', 'surprise', 'out', 'the', 'have']",5,2,POSITIVE
this is why we must rebuild through a new social contract which will guide our govts into the future including guide our rebuilding of the economy educators worry gap may grow for disadvantaged students stuck at home  the globe and mail ,"['rebuild', 'through', 'new', 'social', 'contract', 'guide', 'the', 'future', 'including', 'of', 'economy', 'worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'home', 'globe', 'mail']",18,5,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
edunaij tundetash ahhhhh education nigeria wants to leave for canada ,"['education', 'to', 'leave', 'for']",4,0,POSITIVE
sunlorrie zackslater54 this didnt age well of our canadian govt who and china from jan23 ctv article flipflopping incompetence right from the startgtltnoscriptgtlttitlegt,"['age', 'well', 'of', 'china', 'article', 'incompetence', 'right', 'the']",6,2,POSITIVE
this is a huge concern there are great discrepancies between home situations and this will impact learning  it always did but the effects will be exponential now educators worry gap may grow for disadvantaged students stuck at home via globeandmail ,"['huge', 'concern', 'are', 'great', 'between', 'home', 'impact', 'learning', 'the', 'worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'via']",13,4,POSITIVE
we may have struggled to serve some students in school that struggle will be greater remotely educators worry gap may widen for disadvantaged students who are stuck at home ,"['have', 'to', 'serve', 'in', 'school', 'struggle', 'greater', 'worry', 'gap', 'widen', 'for', 'disadvantaged', 'are', 'stuck', 'home']",11,4,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
this is why we must rebuild through a new social contract which will guide our govts into the future including guide our rebuilding of the economy educators worry gap may grow for disadvantaged students stuck at home  the globe and mail ,"['rebuild', 'through', 'new', 'social', 'contract', 'guide', 'the', 'future', 'including', 'of', 'economy', 'worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'home', 'globe', 'mail']",18,5,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
speech pathologists at calgary schools say theyre heartbroken after surprise layoffshelp me out here but the schools have been closed since mid march and will not reopen until sept  ,"['speech', 'say', 'heartbroken', 'surprise', 'out', 'the', 'have']",5,2,POSITIVE
kuiperbelte picardonhealth your racist rhetoric is not representative of canada we are a land of diversity of diversity and acceptance you might be best served isolating and distancing your opinions from those who seek education and openmindedness rather than bigotry,"['racist', 'rhetoric', 'representative', 'of', 'are', 'land', 'diversity', 'acceptance', 'best', 'those', 'seek', 'education', 'bigotry']",14,2,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
educators worry gap may grow for disadvantaged students learning at home ,"['worry', 'gap', 'grow', 'for', 'disadvantaged', 'learning', 'home']",5,2,POSITIVE
top 10 sites to learn excel for free sites for free online education sites for your career sites to review your resume for free indemand jobs in canada in 2019 certificates in canada in 2019 sites for interview preparation tech skills in demand in 2019thread,"['top', 'to', 'learn', 'excel', 'for', 'free', 'online', 'education', 'career', 'review', 'resume', 'in', 'interview', 'preparation', 'tech', 'demand']",28,0,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
educators worry gap may grow for disadvantaged students stuck at home learning  httpstcomvybedyrhj,"['worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'home', 'learning']",5,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
speech pathologists at calgary schools say theyre heartbroken after surprise layoffshelp me out here but the schools have been closed since mid march and will not reopen until sept  ,"['speech', 'say', 'heartbroken', 'surprise', 'out', 'the', 'have']",5,2,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
this is why we must rebuild through a new social contract which will guide our govts into the future including guide our rebuilding of the economy educators worry gap may grow for disadvantaged students stuck at home  the globe and mail ,"['rebuild', 'through', 'new', 'social', 'contract', 'guide', 'the', 'future', 'including', 'of', 'economy', 'worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'home', 'globe', 'mail']",18,5,POSITIVE
tcf canada has some very exciting news to share with you stay tuned on monday april 13 at 300 pm for our big announcement education pakistan letseducatepakistan httpstcollzdutgs4c,"['very', 'exciting', 'news', 'to', 'share', 'stay', 'monday', 'april', 'for', 'big', 'announcement', 'education']",10,2,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
courts amp the system are failing the children they should be prioritizingfc amp all those working in the system need to understand the dynamics of dvdacsa education oversight amp accountability is sorely neededglad canada exposinglooking into this much needed everywhere ,"['the', 'system', 'are', 'failing', 'children', 'all', 'those', 'in', 'need', 'to', 'understand', 'of', 'education', 'oversight', 'accountability', 'sorely', 'much', 'everywhere']",18,4,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
jkenney why do you keep selling oil and gas as the only thing that will save alberta and canada the real resource that you refuse to endorse promote or acknowledge are educated and innovative albertans make a long term investment in education abpoli ableg alberta,"['do', 'keep', 'oil', 'gas', 'the', 'only', 'save', 'real', 'resource', 'refuse', 'to', 'endorse', 'promote', 'acknowledge', 'are', 'educated', 'innovative', 'make', 'long', 'investment', 'in', 'education']",21,2,POSITIVE
the family that provided airplane fuel to hitler now owns the gop   they continue to fund far right institutes in canada like the fraser institute and the manning institute  they also fund the american ashley berner hired to ruin albertas education curriculum fascism ,"['the', 'family', 'airplane', 'fuel', 'to', 'hitler', 'continue', 'fund', 'far', 'right', 'in', 'institute', 'ruin', 'education', 'curriculum', 'fascism']",20,4,POSITIVE
educators worry gap may grow for disadvantaged students learning at home ,"['worry', 'gap', 'grow', 'for', 'disadvantaged', 'learning', 'home']",5,2,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
speech pathologists at calgary schools say theyre heartbroken after surprise layoffshelp me out here but the schools have been closed since mid march and will not reopen until sept  httpstconikemih9cm,"['speech', 'say', 'heartbroken', 'surprise', 'out', 'the', 'have']",5,2,POSITIVE
this is 100 true  any cdn that votes against our health care plan andor education should consider moving out of canada  we dont need traitors to our country ,"['against', 'health', 'care', 'plan', 'education', 'consider', 'moving', 'out', 'of', 'need', 'to', 'country']",10,2,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
what can we do as educators amp admin to help close up the gap in these challenging times msrgriffith mrsbylykbashi jemainewallacedarlenejones96 cherilynscobiealisongsv mgala19educators worry gap may grow for disadvantaged students stuck at home  ,"['do', 'admin', 'to', 'help', 'close', 'up', 'the', 'gap', 'in', 'worry', 'grow', 'for', 'disadvantaged', 'stuck', 'home']",12,4,POSITIVE
we may have struggled to serve some students in school that struggle will be greater remotely educators worry gap may widen for disadvantaged students who are stuck at home ,"['have', 'to', 'serve', 'in', 'school', 'struggle', 'greater', 'worry', 'gap', 'widen', 'for', 'disadvantaged', 'are', 'stuck', 'home']",11,4,POSITIVE
this is why we must rebuild through a new social contract which will guide our govts into the future including guide our rebuilding of the economy educators worry gap may grow for disadvantaged students stuck at home  the globe and mail ,"['rebuild', 'through', 'new', 'social', 'contract', 'guide', 'the', 'future', 'including', 'of', 'economy', 'worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'home', 'globe', 'mail']",18,5,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
birdjo terrytruchan lumin8 jkenneys attack on our education healthcare amp his slavery to oil amp the us providing them w 7000 oil jobs should scare you his paranoia should scare you  his protection of corrupt shandro should scare you we pay him ucpcorruption ,"['attack', 'education', 'healthcare', 'slavery', 'to', 'oil', 'the', 'scare', 'paranoia', 'protection', 'of', 'corrupt', 'pay']",8,8,NEUTRAL
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
educators from across canada recognize the challenges and the need to ensure all students can truly access their education during covid19 bced ,"['recognize', 'the', 'need', 'to', 'ensure', 'all', 'truly', 'access', 'education']",9,1,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
nursing education congress 2020september 25262020vancouvercanadafor registration visit the link ,"['nursing', 'education', 'congress', 'registration', 'visit', 'the', 'link']",6,1,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
top 10 sites to learn excel for free sites for free online education sites for your career sites to review your resume for free indemand jobs in canada in 2019 certificates in canada in 2019 sites for interview preparation tech skills in demand in 2019thread,"['top', 'to', 'learn', 'excel', 'for', 'free', 'online', 'education', 'career', 'review', 'resume', 'in', 'interview', 'preparation', 'tech', 'demand']",28,0,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the biggest assets in narrowing the socioeconomic divide amp distance learning during this pandemic is widening inequities onted onpoli ,"['maybe', 'one', 'of', 'the', 'biggest', 'end', 'day', 'classroom', 'in', 'narrowing', 'socioeconomic', 'divide', 'distance', 'learning', 'pandemic']",18,6,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
there is an assumption that students are going to be disciplined they are going to be supported by parents and caregivers quite frankly its ridiculous said ms farhadi who is also a teacher with the toronto boardadrianalagrange abed ableg,"['assumption', 'are', 'going', 'to', 'disciplined', 'frankly', 'ridiculous', 'teacher', 'the']",9,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
the bricksandmortar classroom is one of the biggest assets in narrowing the divide and distance learning during this pandemic is widening inequities that may end up setting back some children from marginalized communities even further remotelearning ,"['the', 'classroom', 'one', 'of', 'biggest', 'in', 'narrowing', 'divide', 'distance', 'learning', 'pandemic', 'end', 'up', 'setting', 'back', 'children', 'further']",16,3,POSITIVE
this is why we must rebuild through a new social contract which will guide our govts into the future including guide our rebuilding of the economy educators worry gap may grow for disadvantaged students stuck at home  the globe and mail httpstco0vhg9ziknh,"['rebuild', 'through', 'new', 'social', 'contract', 'guide', 'the', 'future', 'including', 'of', 'economy', 'worry', 'gap', 'grow', 'for', 'disadvantaged', 'stuck', 'home', 'globe', 'mail']",18,5,POSITIVE
education available online but only for kids rich enough to own a laptop amp pay for monthly internet service ableg yeg yyc yql edu4therich   ,"['education', 'available', 'online', 'only', 'for', 'rich', 'enough', 'to', 'own', 'laptop', 'pay', 'monthly', 'internet', 'service']",13,2,POSITIVE
education available online but only for kids rich enough to own a laptop amp pay for monthly internet service ableg yeg yyc yql edu4therich   ,"['education', 'available', 'online', 'only', 'for', 'rich', 'enough', 'to', 'own', 'laptop', 'pay', 'monthly', 'internet', 'service']",13,2,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
grahamprecey tbirdtr3y10 parisejason joeysalads i dont know about much about the education system in the uk but in canada and the usa we learned the difference between your and youre in grade 4,"['know', 'much', 'the', 'education', 'system', 'in', 'uk', 'learned', 'difference', 'between', 'grade']",15,1,POSITIVE
women are vastly underrepresented in stem jobs and among stem degree holders despite making up nearly half of the workforce huffpost canada discusses leadership in stem and the challenges women face in the field ,"['are', 'in', 'stem', 'degree', 'despite', 'up', 'half', 'of', 'the', 'workforce', 'leadership', 'face']",15,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
education available online but only for kids rich enough to own a laptop amp pay for monthly internet service ableg yeg yyc yql edu4therich   httpstcodvcf9sfmxw,"['education', 'available', 'online', 'only', 'for', 'rich', 'enough', 'to', 'own', 'laptop', 'pay', 'monthly', 'internet', 'service']",13,2,POSITIVE
speech pathology no longer available for calgary students after ucp education cuts ableg yyc yeg yql ucpcuts    httpstcoxsihy6qvu4,"['speech', 'pathology', 'longer', 'available', 'for', 'education']",5,1,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
women are vastly underrepresented in stem jobs and among stem degree holders despite making up nearly half of the workforce huffpost canada discusses leadership in stem and the challenges women face in the field ,"['are', 'in', 'stem', 'degree', 'despite', 'up', 'half', 'of', 'the', 'workforce', 'leadership', 'face']",15,3,POSITIVE
shortsighted move this can be done remotely as the pathologists noted students should not see the supports they need to succeed cut back during this time speech pathologists at calgary schools say theyre heartbroken after surprise layoffs  cbc news ,"['shortsighted', 'move', 'the', 'see', 'need', 'to', 'succeed', 'cut', 'back', 'time', 'speech', 'say', 'heartbroken', 'surprise', 'news']",13,3,POSITIVE
these layoffs are because abed adrianalagrange cut 128m just a couple of weeks ago of course layoff notices are being issued she forced boards to do it ableg ,"['are', 'cut', 'just', 'couple', 'of', 'ago', 'course', 'forced', 'to', 'do']",9,3,POSITIVE
chattingkat any canadian citizen dedicated to canada and  have the education qualifications and dedication to canada qualifies as mp,"['citizen', 'to', 'have', 'the', 'education', 'dedication']",7,0,POSITIVE
